ticker,name
ARSUSD,ARGENTINE PESO / U.S. DOLLAR
ARSWCU,ARGENTINE PESO / WORLD CURRENCY UNIT
AUDAED,AUSTRALIAN DOLLAR / U.A.E. DIRHAM
AUDANG,AUSTRALIAN DOLLAR / NETHERLANDS ANTILLEAN GUILDER
AUDARS,AUSTRALIAN DOLLAR / ARGENTINE PESO
AUDAWG,AUSTRALIAN DOLLAR / ARUBAN FLORIN
AUDBAM,AUSTRALIAN DOLLAR / BOSNIAN CONVERTIBLE MARKA
AUDBBD,AUSTRALIAN DOLLAR / BARBADIAN DOLLAR
AUDBHD,AUSTRALIAN DOLLAR / BAHRAINI DINAR
AUDBMD,AUSTRALIAN DOLLAR / BERMUDIAN DOLLAR
AUDBOB,AUSTRALIAN DOLLAR / BOLIVIAN BOLIVIANO
AUDBRL,AUSTRALIAN DOLLAR / BRAZILIAN REAL
AUDBRX,AUSTRALIAN DOLLAR / BRAZILIAN REAL REFERENCE RATE
AUDBSD,AUSTRALIAN DOLLAR / BAHAMIAN DOLLAR
AUDBWP,AUSTRALIAN DOLLAR / BOTSWANAN PULA
AUDBZD,AUSTRALIAN DOLLAR / BELIZEAN DOLLAR
AUDCAD,AUSTRALIAN DOLLAR / CANADIAN DOLLAR
AUDCAX,AUSTRALIAN DOLLAR / CAX
AUDCHF,AUSTRALIAN DOLLAR / SWISS FRANC
AUDCLP,AUSTRALIAN DOLLAR / CHILEAN PESO
AUDCNH,AUSTRALIAN DOLLAR / OFFSHORE CHINESE YUAN
AUDCNY,AUSTRALIAN DOLLAR / CHINESE YUAN
AUDCOP,AUSTRALIAN DOLLAR / COLOMBIAN PESO
AUDCRC,AUSTRALIAN DOLLAR / COSTA RICAN COLON
AUDCZK,AUSTRALIAN DOLLAR / CZECH KORUNA
AUDCZX,AUSTRALIAN DOLLAR / CZECH KORUNA REFERENCE RATE
AUDDKK,AUSTRALIAN DOLLAR / DANISH KRONE
AUDDKX,AUSTRALIAN DOLLAR / DKX
AUDDOP,AUSTRALIAN DOLLAR / DOMINICAN PESO
AUDEGP,AUSTRALIAN DOLLAR / EGYPTIAN POUND
AUDERN,AUSTRALIAN DOLLAR / ERITERIAN NAKFA
AUDEUR,AUSTRALIAN DOLLAR / EURO
AUDFJD,AUSTRALIAN DOLLAR / FIJIAN DOLLAR
AUDGBP,AUSTRALIAN DOLLAR / BRITISH POUND
AUDGHS,AUSTRALIAN DOLLAR / GHANAIAN CEDI
AUDGIP,AUSTRALIAN DOLLAR / GIBRALTAR POUND
AUDGTQ,AUSTRALIAN DOLLAR / GUATEMALAN QUETZAL
AUDHKD,AUSTRALIAN DOLLAR / HONG KONG DOLLAR
AUDHNL,AUSTRALIAN DOLLAR / HONDURAN LEMPIRA
AUDHUF,AUSTRALIAN DOLLAR / HUNGARIAN FORINT
AUDHUX,AUSTRALIAN DOLLAR / HUNGARIAN FORINT REFERENCE RATE
AUDIDR,AUSTRALIAN DOLLAR / INDONESIAN RUPIAH
AUDILS,AUSTRALIAN DOLLAR / ISRAELI SHEKEL
AUDINR,AUSTRALIAN DOLLAR / INDIAN RUPEE
AUDISK,AUSTRALIAN DOLLAR / ICELANDIC KRONA
AUDISX,AUSTRALIAN DOLLAR / ICELANDIC KRONA REFERENCE RATE
AUDJMD,AUSTRALIAN DOLLAR / JAMAICAN DOLLAR
AUDJOD,AUSTRALIAN DOLLAR / JORDANIAN DINAR
AUDJPY,AUSTRALIAN DOLLAR / JAPANESE YEN
AUDKES,AUSTRALIAN DOLLAR / KENYAN SHILLING
AUDKRW,AUSTRALIAN DOLLAR / SOUTH KOREAN WON
AUDKWD,AUSTRALIAN DOLLAR / KUWAITI DINAR
AUDKYD,AUSTRALIAN DOLLAR / CAYMANIAN DOLLAR
AUDLKR,AUSTRALIAN DOLLAR / SRI LANKAN RUPEE
AUDMAD,AUSTRALIAN DOLLAR / MOROCCAN DIRHAM
AUDMGA,AUSTRALIAN DOLLAR / MALAGASY ARIARY
AEDAUD,U.A.E. DIRHAM / AUSTRALIAN DOLLAR
AEDBRX,U.A.E. DIRHAM / BRAZILIAN REAL REFERENCE RATE
AEDCAD,U.A.E. DIRHAM / CANADIAN DOLLAR
AEDCHF,U.A.E. DIRHAM / SWISS FRANC
AEDEUR,U.A.E. DIRHAM / EURO
AEDGBP,U.A.E. DIRHAM / BRITISH POUND
AEDHKD,U.A.E. DIRHAM / HONG KONG DOLLAR
AEDINR,U.A.E. DIRHAM / INDIAN RUPEE
AEDJPY,U.A.E. DIRHAM / JAPANESE YEN
AEDKRW,U.A.E. DIRHAM / SOUTH KOREAN WON
AEDKWD,U.A.E. DIRHAM / KUWAITI DINAR
AEDLKR,U.A.E. DIRHAM / SRI LANKAN RUPEE
AEDMAD,U.A.E. DIRHAM / MOROCCAN DIRHAM
AEDMUR,U.A.E. DIRHAM / MAURITIAN RUPEE
AEDMYX,U.A.E. DIRHAM / MALAYSIAN RINGGIT REFERENCE RATE
AEDNOK,U.A.E. DIRHAM / NORWEGIAN KRONE
AEDNZD,U.A.E. DIRHAM / NEW ZEALAND DOLLAR
AEDOMR,U.A.E. DIRHAM / OMANI RIAL
AEDPKR,U.A.E. DIRHAM / PAKISTANI RUPEE
AEDQAR,U.A.E. DIRHAM / QATARI RIAL
AEDSAR,U.A.E. DIRHAM / SAUDI ARABIAN RIYAL
AEDSEK,U.A.E. DIRHAM / SWEDISH KRONA
AEDSGD,U.A.E. DIRHAM / SINGAPORE DOLLAR
AEDSGX,U.A.E. DIRHAM / SGX
AEDTHX,U.A.E. DIRHAM / THAI BAHT REFERENCE RATE
AEDTRY,U.A.E. DIRHAM / TURKISH LIRA
AEDUSD,U.A.E. DIRHAM / U.S. DOLLAR
AEDXDR,U.A.E. DIRHAM / SPECIAL DRAWING RIGHT
AEDZAR,U.A.E. DIRHAM / SOUTH AFRICAN RAND
AFNBRX,AFGHAN AFGHANI / BRAZILIAN REAL REFERENCE RATE
AFNUSD,AFGHAN AFGHANI / U.S. DOLLAR
ALLBRX,ALBANIAN LEK / BRAZILIAN REAL REFERENCE RATE
ALLUSD,ALBANIAN LEK / U.S. DOLLAR
AMDBRX,ARMENIAN DRAM / BRAZILIAN REAL REFERENCE RATE
ANGBRX,NETHERLANDS ANTILLEAN GUILDER / BRAZILIAN REAL REFERENCE RATE
ANGEUR,NETHERLANDS ANTILLEAN GUILDER / EURO
ANGSRD,NETHERLANDS ANTILLEAN GUILDER / SURINAMESE DOLLAR
ANGUSD,NETHERLANDS ANTILLEAN GUILDER / U.S. DOLLAR
ANGZAR,NETHERLANDS ANTILLEAN GUILDER / SOUTH AFRICAN RAND
AOABRX,ANGOLAN KWANZA / BRAZILIAN REAL REFERENCE RATE
AOAUSD,ANGOLAN KWANZA / U.S. DOLLAR
ARSBRL,ARGENTINE PESO / BRAZILIAN REAL
ARSBRX,ARGENTINE PESO / BRAZILIAN REAL REFERENCE RATE
ARSJPY,ARGENTINE PESO / JAPANESE YEN
ARSUSD,ARGENTINE PESO / U.S. DOLLAR
ARSWCU,ARGENTINE PESO / WORLD CURRENCY UNIT
AUDAED,AUSTRALIAN DOLLAR / U.A.E. DIRHAM
AUDANG,AUSTRALIAN DOLLAR / NETHERLANDS ANTILLEAN GUILDER
AUDARS,AUSTRALIAN DOLLAR / ARGENTINE PESO
AUDAWG,AUSTRALIAN DOLLAR / ARUBAN FLORIN
AUDBAM,AUSTRALIAN DOLLAR / BOSNIAN CONVERTIBLE MARKA
AUDBBD,AUSTRALIAN DOLLAR / BARBADIAN DOLLAR
AUDBHD,AUSTRALIAN DOLLAR / BAHRAINI DINAR
AUDBMD,AUSTRALIAN DOLLAR / BERMUDIAN DOLLAR
AUDBOB,AUSTRALIAN DOLLAR / BOLIVIAN BOLIVIANO
AUDBRL,AUSTRALIAN DOLLAR / BRAZILIAN REAL
AUDBRX,AUSTRALIAN DOLLAR / BRAZILIAN REAL REFERENCE RATE
AUDBSD,AUSTRALIAN DOLLAR / BAHAMIAN DOLLAR
AUDBWP,AUSTRALIAN DOLLAR / BOTSWANAN PULA
AUDBZD,AUSTRALIAN DOLLAR / BELIZEAN DOLLAR
AUDCAD,AUSTRALIAN DOLLAR / CANADIAN DOLLAR
AUDCAX,AUSTRALIAN DOLLAR / CAX
AUDCHF,AUSTRALIAN DOLLAR / SWISS FRANC
AUDCLP,AUSTRALIAN DOLLAR / CHILEAN PESO
AUDCNH,AUSTRALIAN DOLLAR / OFFSHORE CHINESE YUAN
AUDCNY,AUSTRALIAN DOLLAR / CHINESE YUAN
AUDCOP,AUSTRALIAN DOLLAR / COLOMBIAN PESO
AUDCRC,AUSTRALIAN DOLLAR / COSTA RICAN COLON
AUDCZK,AUSTRALIAN DOLLAR / CZECH KORUNA
AUDCZX,AUSTRALIAN DOLLAR / CZECH KORUNA REFERENCE RATE
AUDDKK,AUSTRALIAN DOLLAR / DANISH KRONE
AUDDKX,AUSTRALIAN DOLLAR / DKX
AUDDOP,AUSTRALIAN DOLLAR / DOMINICAN PESO
AUDEGP,AUSTRALIAN DOLLAR / EGYPTIAN POUND
AUDERN,AUSTRALIAN DOLLAR / ERITERIAN NAKFA
AUDEUR,AUSTRALIAN DOLLAR / EURO
AUDFJD,AUSTRALIAN DOLLAR / FIJIAN DOLLAR
AUDGBP,AUSTRALIAN DOLLAR / BRITISH POUND
AUDGHS,AUSTRALIAN DOLLAR / GHANAIAN CEDI
AUDGIP,AUSTRALIAN DOLLAR / GIBRALTAR POUND
AUDGTQ,AUSTRALIAN DOLLAR / GUATEMALAN QUETZAL
AUDHKD,AUSTRALIAN DOLLAR / HONG KONG DOLLAR
AUDHNL,AUSTRALIAN DOLLAR / HONDURAN LEMPIRA
AUDHUF,AUSTRALIAN DOLLAR / HUNGARIAN FORINT
AUDHUX,AUSTRALIAN DOLLAR / HUNGARIAN FORINT REFERENCE RATE
AUDIDR,AUSTRALIAN DOLLAR / INDONESIAN RUPIAH
AUDILS,AUSTRALIAN DOLLAR / ISRAELI SHEKEL
AUDINR,AUSTRALIAN DOLLAR / INDIAN RUPEE
AUDISK,AUSTRALIAN DOLLAR / ICELANDIC KRONA
AUDISX,AUSTRALIAN DOLLAR / ICELANDIC KRONA REFERENCE RATE
AUDJMD,AUSTRALIAN DOLLAR / JAMAICAN DOLLAR
AUDJOD,AUSTRALIAN DOLLAR / JORDANIAN DINAR
AUDJPY,AUSTRALIAN DOLLAR / JAPANESE YEN
AUDKES,AUSTRALIAN DOLLAR / KENYAN SHILLING
AUDKRW,AUSTRALIAN DOLLAR / SOUTH KOREAN WON
AUDKWD,AUSTRALIAN DOLLAR / KUWAITI DINAR
AUDKYD,AUSTRALIAN DOLLAR / CAYMANIAN DOLLAR
AUDLKR,AUSTRALIAN DOLLAR / SRI LANKAN RUPEE
AUDMAD,AUSTRALIAN DOLLAR / MOROCCAN DIRHAM
AUDMGA,AUSTRALIAN DOLLAR / MALAGASY ARIARY
AUDMXN,AUSTRALIAN DOLLAR / MEXICAN PESO
AUDMYR,AUSTRALIAN DOLLAR / MALAYSIAN RINGGIT
AUDMYX,AUSTRALIAN DOLLAR / MALAYSIAN RINGGIT REFERENCE RATE
AUDNGN,AUSTRALIAN DOLLAR / NIGERIA NAIRA
AUDNOK,AUSTRALIAN DOLLAR / NORWEGIAN KRONE
AUDNOX,AUSTRALIAN DOLLAR / NOX
AUDNZD,AUSTRALIAN DOLLAR / NEW ZEALAND DOLLAR
AUDOMR,AUSTRALIAN DOLLAR / OMANI RIAL
AUDPEN,AUSTRALIAN DOLLAR / PERUVIAN SOL
AUDPGK,AUSTRALIAN DOLLAR / PAPUA NEW GUINEAN KINA
AUDPHP,AUSTRALIAN DOLLAR / PHILIPPINE PESO
AUDPKR,AUSTRALIAN DOLLAR / PAKISTANI RUPEE
AUDPLN,AUSTRALIAN DOLLAR / POLISH ZLOTY
AUDPLX,AUSTRALIAN DOLLAR / POLISH ZLOTY REFERENCE RATE
AUDPYG,AUSTRALIAN DOLLAR / PARAGUAYAN GUARANI
AUDQAR,AUSTRALIAN DOLLAR / QATARI RIAL
AUDRSD,AUSTRALIAN DOLLAR / SERBIAN DINAR
AUDRUB,AUSTRALIAN DOLLAR / RUSSIAN RUBLE
AUDSAR,AUSTRALIAN DOLLAR / SAUDI ARABIAN RIYAL
AUDSCR,AUSTRALIAN DOLLAR / SEYCHELLOIS RUPEE
AUDSEK,AUSTRALIAN DOLLAR / SWEDISH KRONA
AUDSGD,AUSTRALIAN DOLLAR / SINGAPORE DOLLAR
AUDSGX,AUSTRALIAN DOLLAR / SGX
AUDSVC,AUSTRALIAN DOLLAR / SALVADORAN COLON
AUDSYP,AUSTRALIAN DOLLAR / SYRIAN POUND
